Vendor,Name,Serial,KeyIdentifier,NotBefore,NotAfter,SHA1,SHA256
Mozilla,"CN=T-TeleSec GlobalRoot Class 3,OU=T-Systems Trust Center,O=T-Systems Enterprise Services GmbH,C=DE",01,B503F7763B61826A12AA1853EB032194BFFECECA,2008-10-01T10:29:56Z,2033-10-01T23:59:59Z,55A6723ECBF2ECCDC3237470199D2ABE11E381D1,FD73DAD31C644FF1B43BEF0CCDDA96710B9CD9875ECA7E31707AF3E96D522BBD
Mozilla,"SERIALNUMBER=G63287510,CN=ANF Secure Server Root CA,OU=ANF CA Raiz,O=ANF Autoridad de Certificacion,C=ES",0DD3E3BC6CF96BB1,9C5FD06C63A35F93CA939808AD8C87A52C5CC137,2019-09-04T10:00:38Z,2039-08-30T10:00:38Z,5B6E68D0CC15B6A05F1EC15FAE02FC6B2F5D6F74,FB8FEC759169B9106B1E511644C618C51304373F6C0643088D8BEFFD1B997599
Mozilla,"CN=BJCA Global Root CA1,O=BEIJING CERTIFICATE AUTHORITY,C=CN",556F65E3B4D9906A1B09D16C3EC06C20,C5EFEDCCD88D21C648E4E3D7142EA71693E59801,2019-12-19T03:16:17Z,2044-12-12T03:16:17Z,D5EC8D7B4CBA79F4E7E8CB9D6BAE77831003216A,F3896F88FE7C0A882766A7FA6AD2749FB57A7F3E98FB769C1FA7B09C2C44D5AE
Mozilla,"CN=Atos TrustedRoot 2011,O=Atos,C=DE",5C33CB622C5FB332,A7A506B12CA60960EED197E970AEBC3B196CDB21,2011-07-07T14:58:30Z,2030-12-31T23:59:59Z,2BB1F53E550C1DC5F1D4E6B76A464B550602AC21,F356BEA244B7A91EB35D53CA9AD7864ACE018E2D35D5F8F96DDF68A6F41AA474
Mozilla,"CN=SecureTrust CA,O=SecureTrust Corporation,C=US",0CF08E5C0816A5AD427FF0EB271859D0,4232B616FA04FDFE5D4B7AC3FDF74C401D5A43AF,2006-11-07T19:31:18Z,2029-12-31T19:40:55Z,8782C6C304353BCFD29692D2593E7D44D934FF11,F1C1B50AE5A20DD8030EC9F6BC24823DD367B5255759B4E71B61FCE9F7375D73
Mozilla,"CN=HiPKI Root CA - G1,O=Chunghwa Telecom Co.\, Ltd.,C=TW",2DDDACCE629794A143E8B0CD766A5E60,F27717FA5EA8FEF63D71D568BAC9460C38D8AFB0,2019-02-22T09:46:04Z,2037-12-31T15:59:59Z,6A92E4A8EE1BEC964537E3295749CD96E3E5D260,F015CE3CC239BFEF064BE9F1D2C417E1A0264A0A94BE1F0C8D121864EB6949CC
Mozilla,"CN=Telekom Security TLS RSA Root 2023,O=Deutsche Telekom Security GmbH,C=DE",219C542DE8F6EC7177FA4EE8C3705797,B6A797823D74859BF73C9F939A957975528C6D47,2023-03-28T12:16:45Z,2048-03-27T23:59:59Z,54D3ACB3BD5756F6859DCEE5C321E2D4AD83D093,EFC65CADBB59ADB6EFE84DA22311B35624B71B3B1EA0DA8B6655174EC8978646
Mozilla,"CN=D-TRUST Root Class 3 CA 2 EV 2009,O=D-Trust GmbH,C=DE",0983F4,D3948A4C62132A192ECCAF728A7D36D79A1CDC67,2009-11-05T08:50:46Z,2029-11-05T08:50:46Z,96C91B0B95B4109842FAD0D82279FE60FAB91683,EEC5496B988CE98625B934092EEC2908BED0B0F316C2D4730C84EAF1F3D34881
Mozilla,"CN=Buypass Class 3 Root CA,O=Buypass AS-983163327,C=NO",02,47B8CDFFE56FEEF8B2EC2F4E0EF925B08E3C6BC3,2010-10-26T08:28:58Z,2040-10-26T08:28:58Z,DAFAF7FA6684EC068F1450BDC7C281A5BCA96457,EDF7EBBCA27A2A384D387B7D4010C666E2EDB4843E4C29B4AE1D5B9332E6B24D
Mozilla,"OU=AC RAIZ FNMT-RCM,O=FNMT-RCM,C=ES",5D938D306736C8061D1AC754846907,F77DC5FDC4E89A1B7764A7F51DA0CCBF87609A6D,2008-10-29T15:59:56Z,2030-01-01T00:00:00Z,EC503507B215C4956219E2A89A5B42992C4C2C20,EBC5570C29018C4D67B1AA127BAF12F703B4611EBC17B7DAB5573894179B93FA
Mozilla,"OU=certSIGN ROOT CA,O=certSIGN,C=RO",200605167002,E08C9BDB2549B3F17C86D6B242870BD06BA0D9E4,2006-07-04T17:20:04Z,2031-07-04T17:20:04Z,FAB7EE36972662FB2DB02AF6BF03FDE87C4B2F9B,EAA962C4FA4A6BAFEBE415196D351CCD888D4F53F3FA8AE6D7C466A94E6042BB
Mozilla,"CN=USERTrust RSA Certification Authority,O=The USERTRUST Network,L=Jersey City,ST=New Jersey,C=US",01FD6D30FCA3CA51A81BBC640E35032D,5379BF5AAA2B4ACF5480E1D89BC09DF2B20366CB,2010-02-01T00:00:00Z,2038-01-18T23:59:59Z,2B8F1B57330DBBA2D07A6C51F70EE90DDAB9AD8E,E793C9B02FD8AA13E21C31228ACCB08119643B749C898964B1746D46C3D4CBD2
Mozilla,"CN=SecureSign Root CA15,O=Cybertrust Japan Co.\, Ltd.,C=JP",1615C7C3D849A7BE690C8A88EDF070F9DDB73E87,EB41C8AEFCD59E5148F5BD8BF4872093412BD3F4,2020-04-08T08:32:56Z,2045-04-08T08:32:56Z,CBBA83C8C15A5DF1F9736FCAD7EF2813064A077D,E778F0F095FE843729CD1A0082179E5314A9C291442805E1FB1D8FB6B8886C3A
